job_id,title,requirements,description,company,raw_text,processed_text
1,İK Uzmanı,"İK süreçlerinde 2 yıl deneyim, takım çalışmasına yatkınlık.","Çalışanların işe alım süreçlerini baştan sona yönetir, eğitim programlarını tasarlar ve uygular.",HR Solutions,"İK Uzmanı Çalışanların işe alım süreçlerini baştan sona yönetir, eğitim programlarını tasarlar ve uygular. İK süreçlerinde 2 yıl deneyim, takım çalışmasına yatkınlık.",i̇k uzma çalış işe al süreç baştan son yönet eğitim program tasarla uygula i̇k süreç 2 yıl deney tak çalış yatkın
2,İK Müdürü,"İK yönetiminde en az 5 yıl deneyim, liderlik ve strateji geliştirme yetenekleri.","İK stratejilerini geliştirir, çalışan performansını yönetir ve organizasyonel gelişim süreçlerini yönlendirir.",PeopleFirst,"İK Müdürü İK stratejilerini geliştirir, çalışan performansını yönetir ve organizasyonel gelişim süreçlerini yönlendirir. İK yönetiminde en az 5 yıl deneyim, liderlik ve strateji geliştirme yetenekleri.",i̇k müdür i̇k strateji geliştir çalış performans yönet organizasyonel gelişim süreç yönlen i̇k yönetim 5 yıl deney lider stratej geliştir yetenek
3,İK Asistanı,"Yeni mezun veya 1 yıl İK deneyimi, organizasyon ve iletişim becerileri.","İK departmanının günlük işlerini takip eder, personel dosyalarını düzenler ve mülakat süreçlerine destek verir.",TalentLink,"İK Asistanı İK departmanının günlük işlerini takip eder, personel dosyalarını düzenler ve mülakat süreçlerine destek verir. Yeni mezun veya 1 yıl İK deneyimi, organizasyon ve iletişim becerileri.",i̇k asistan i̇k departman günlük iş takip et personel dosya düzenle mülakat süreç destek ver yeni mezun 1 yıl i̇k deney organizasyon iletişim beceri
4,Performans Yönetimi Uzmanı,"Performans değerlendirme ve hedef belirleme konusunda bilgi, analiz yeteneği.","Çalışanların performansını değerlendirir, gelişim planları oluşturur ve performans iyileştirme stratejileri oluşturur.",Peak Performers,"Performans Yönetimi Uzmanı Çalışanların performansını değerlendirir, gelişim planları oluşturur ve performans iyileştirme stratejileri oluşturur. Performans değerlendirme ve hedef belirleme konusunda bilgi, analiz yeteneği.",performans yönet uzma çalış performans değerlendir gelişim plan oluş performans iyi strateji oluş performans değerlendir hedef belirle konu bilgi analiz yetenek
5,İK Danışmanı,"İK süreçlerini iyileştirme deneyimi, değişim yönetimi bilgisi.","İK süreçlerini analiz eder, verimliliği artırmak için öneriler sunar ve organizasyonel iyileştirmelere liderlik eder.",HR Dynamics,"İK Danışmanı İK süreçlerini analiz eder, verimliliği artırmak için öneriler sunar ve organizasyonel iyileştirmelere liderlik eder. İK süreçlerini iyileştirme deneyimi, değişim yönetimi bilgisi.",i̇k danışman i̇k süreç analiz et verim artır öneri sun organizasyonel iyi lider et i̇k süreç iyi deney değişim yönet bilgi
6,Grafik Tasarımcı,"Adobe Creative Suite bilgisi, yaratıcılık ve görsel iletişim becerisi.","Dijital ve basılı materyallerin tasarımını yapacak, marka kimliği oluşturacak ve projelere görsel çözümler geliştireceksiniz.",DesignWorks,"Grafik Tasarımcı Dijital ve basılı materyallerin tasarımını yapacak, marka kimliği oluşturacak ve projelere görsel çözümler geliştireceksiniz. Adobe Creative Suite bilgisi, yaratıcılık ve görsel iletişim becerisi.",grafik tasarım dijital bası materyal tasarım yap mark kimlik oluş proje görsel çözümle geliştir adobe creative suite bilgi yarat görsel iletişim beceri
7,UI/UX Tasarımcısı,"UI/UX tasarımı konusunda en az 3 yıl deneyim, kullanıcı odaklı düşünme.","Kullanıcı deneyimini artıracak arayüz tasarımları geliştirecek, kullanıcı geri bildirimlerine göre iyileştirmeler yapacaksınız.",UX Vision,"UI/UX Tasarımcısı Kullanıcı deneyimini artıracak arayüz tasarımları geliştirecek, kullanıcı geri bildirimlerine göre iyileştirmeler yapacaksınız. UI/UX tasarımı konusunda en az 3 yıl deneyim, kullanıcı odaklı düşünme.",uiux tasarım kullan deneyim artır arayüz tasarım geliştir kullan geri bildirim göre iyi yap uiux tasar konu 3 yıl deney kullan odak düşün
8,Web Tasarımcısı,"HTML, CSS, JavaScript bilgisi, web tasarım trendlerine hakimiyet.","Web sitelerinin görsel ve işlevsel tasarımını yapacak, kullanıcı deneyimini iyileştirecek ve SEO dostu çözümler geliştireceksiniz.",WebCraft Studio,"Web Tasarımcısı Web sitelerinin görsel ve işlevsel tasarımını yapacak, kullanıcı deneyimini iyileştirecek ve SEO dostu çözümler geliştireceksiniz. HTML, CSS, JavaScript bilgisi, web tasarım trendlerine hakimiyet.",web tasarım web site görsel işlev tasarım yap kullan deneyim iyi seo dost çözümle geliştir html css javascript bilgi web tasar trend hakimiyet
9,Motion Graphics Designer,"After Effects ve animasyon tekniklerinde deneyim, yaratıcı düşünme yeteneği.",Video ve animasyon içerikler üreterek projelere dinamik görseller ekleyeceksiniz.,Creative Studios,"Motion Graphics Designer Video ve animasyon içerikler üreterek projelere dinamik görseller ekleyeceksiniz. After Effects ve animasyon tekniklerinde deneyim, yaratıcı düşünme yeteneği.",motion graphics designer video animasyon içerik üret proje dinamik görsel ekle after effects animasyon teknik deney yarat düşün yetenek
10,Endüstriyel Tasarımcı,"Ürün tasarımı ve prototipleme deneyimi, CAD yazılım bilgisi.","Yeni ürünlerin tasarım sürecine katılacak, prototipleri geliştirecek ve üretime uygun tasarımlar oluşturacaksınız.",Innovative Design Labs,"Endüstriyel Tasarımcı Yeni ürünlerin tasarım sürecine katılacak, prototipleri geliştirecek ve üretime uygun tasarımlar oluşturacaksınız. Ürün tasarımı ve prototipleme deneyimi, CAD yazılım bilgisi.",endüstriyel tasarım yeni ürün tasar süreç katıl prototip geliştir üretim uygun tasarımla oluş ürün tasar prototiple deney cad yazılı bilgi
